Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Type_enc,temp_diff,power_proxy,wear_category,high_wear,high_torque,low_speed,strain_index,overheat,failure_mode_count
M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,10.5,6.9511,Fresh(0-50),0,0,0,0,0,0
L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,0,10.5,6.8262,Fresh(0-50),0,0,1,0,0,0
L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,0,10.4,7.7488,Fresh(0-50),0,1,0,0,0,0
L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,0,10.4,5.9271,Fresh(0-50),0,0,0,0,0,0
L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,0,10.5,5.8974,Fresh(0-50),0,0,1,0,0,0
M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,10.5,6.2521,Fresh(0-50),0,0,0,0,0,0
L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,0,10.5,6.9172,Fresh(0-50),0,0,0,0,0,0
L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,0,10.5,6.4278,Fresh(0-50),0,0,0,0,0,0
M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,10.4,4.9923,Fresh(0-50),0,0,0,0,0,0
M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,10.5,5.1045,Fresh(0-50),0,0,0,0,0,0
H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2,10.5,4.4597,Fresh(0-50),0,0,0,0,0,0
H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2,10.5,6.6009,Fresh(0-50),0,0,0,0,0,0
M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,10.5,7.1647,Fresh(0-50),0,1,1,1,0,0
M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,10.6,5.4723,Fresh(0-50),0,0,0,0,0,0
L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,0,10.6,4.1765,Fresh(0-50),0,0,0,0,0,0
L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,10.6,7.815,Fresh(0-50),0,1,0,0,0,0
M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,10.6,6.3971,Fresh(0-50),0,0,1,0,0,0
M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,10.5,6.7326,Fresh(0-50),0,0,1,0,0,0
H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2,10.4,7.4531,Fresh(0-50),0,1,1,1,0,0
M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,10.4,5.5539,Low(51-100),0,0,0,0,0,0
H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2,10.4,6.1479,Low(51-100),0,0,1,0,0,0
L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,10.5,6.8021,Low(51-100),0,0,0,0,0,0
M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,10.4,5.0824,Low(51-100),0,0,0,0,0,0
L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,10.4,4.731,Low(51-100),0,0,0,0,0,0
M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,10.4,6.0969,Low(51-100),0,0,0,0,0,0
L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,10.5,4.5405,Low(51-100),0,0,0,0,0,0
L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,10.4,6.1747,Low(51-100),0,0,0,0,0,0
H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2,10.3,4.665,Low(51-100),0,0,0,0,0,0
L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,10.3,6.6601,Low(51-100),0,0,0,0,0,0
L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,10.4,5.3361,Low(51-100),0,0,0,0,0,0
M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1,10.4,6.7581,Low(51-100),0,1,1,1,0,0
L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,10.4,4.8009,Low(51-100),0,0,0,0,0,0
L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,10.4,7.1767,Low(51-100),0,1,1,1,0,0
L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,10.4,5.6662,Low(51-100),0,0,0,0,0,0
M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1,10.3,5.6646,Low(51-100),0,0,0,0,0,0
M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1,10.4,7.3892,Low(51-100),0,1,0,0,0,0
M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,10.3,6.0757,Medium(101-150),0,0,0,0,0,0
L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,10.3,5.9067,Medium(101-150),0,0,0,0,0,0
H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2,10.3,7.321,Medium(101-150),0,1,1,1,0,0
L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,10.3,7.4215,Medium(101-150),0,1,1,1,0,0
L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,10.3,6.4748,Medium(101-150),0,0,1,0,0,0
L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,10.3,7.2769,Medium(101-150),0,1,1,1,0,0
M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1,10.3,7.0334,Medium(101-150),0,1,1,1,0,0
H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2,10.4,6.9677,Medium(101-150),0,1,1,1,0,0
M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1,10.3,7.3215,Medium(101-150),0,1,0,0,0,0
L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,10.3,7.6555,Medium(101-150),0,1,0,0,0,0
M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,1,10.3,4.979,Medium(101-150),0,0,0,0,0,0
L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,10.3,6.8747,Medium(101-150),0,0,1,0,0,0
H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2,10.4,8.0427,Medium(101-150),0,1,0,0,0,0
M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1,10.3,6.5203,Medium(101-150),0,0,1,0,0,0
L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,0,10.2,1.3781,Medium(101-150),0,0,0,0,0,1
L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,0,10.2,7.9504,Medium(101-150),0,1,1,1,0,0
H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2,10.2,6.8658,Medium(101-150),0,0,0,0,0,0
L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,10.3,5.752,High(151-200),0,0,0,0,0,0
L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,10.3,5.3297,High(151-200),0,0,0,0,0,0
L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,0,10.3,6.4438,High(151-200),0,0,0,0,0,0
L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,0,10.3,6.5576,High(151-200),0,0,0,0,0,0
L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,0,10.3,6.3847,High(151-200),0,0,0,0,0,0
M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,1,10.2,5.1308,High(151-200),0,0,0,0,0,0
L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,0,10.3,7.8495,High(151-200),0,1,1,1,0,0
L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,0,10.3,7.6724,High(151-200),0,1,1,1,0,0
M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,1,10.2,6.368,High(151-200),0,0,0,0,0,0
L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,0,10.2,4.3858,High(151-200),0,0,0,0,0,0
M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,1,10.1,4.9142,High(151-200),0,0,0,0,0,0
L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,0,10.1,6.1558,High(151-200),0,0,0,0,0,0
L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,0,10.1,6.5832,High(151-200),0,0,1,0,0,0
M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1,10.0,5.0458,High(151-200),0,0,0,0,0,0
H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2,10.1,6.7697,High(151-200),0,0,0,0,0,0
L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,0,10.1,5.1806,High(151-200),0,0,0,0,0,0
L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,0,10.1,9.7002,High(151-200),0,1,1,1,0,2
M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,1,10.1,4.5531,High(151-200),0,0,0,0,0,0
L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,0,10.2,6.9179,High(151-200),0,0,0,0,0,0
L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,0,10.2,6.3648,High(151-200),0,0,1,0,0,0
L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,0,10.1,5.8346,High(151-200),0,0,0,0,0,0
L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,0,10.1,5.4149,Critical(>200),1,0,0,0,0,0
L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,0,10.1,6.7434,Critical(>200),1,0,1,0,0,0
L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,0,10.1,7.3279,Critical(>200),1,1,0,0,0,0
L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,0,10.1,6.2923,Critical(>200),1,0,0,0,0,1
L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,0,10.1,7.539,Fresh(0-50),0,1,1,1,0,0
L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,0,10.1,5.564,Fresh(0-50),0,0,1,0,0,0
H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,2,10.0,7.5503,Fresh(0-50),0,1,0,0,0,0
L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,0,10.0,7.212,Fresh(0-50),0,1,0,0,0,0
L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,0,10.0,6.2076,Fresh(0-50),0,0,0,0,0,0
L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,0,10.0,6.1683,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,0,10.0,7.0877,Fresh(0-50),0,1,1,1,0,0
M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,1,10.0,5.0625,Fresh(0-50),0,0,0,0,0,0
H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,2,10.0,6.6011,Fresh(0-50),0,0,0,0,0,0
L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,0,10.0,5.1413,Fresh(0-50),0,0,0,0,0,0
M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,1,10.0,6.7161,Fresh(0-50),0,0,1,0,0,0
M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,1,10.0,6.1504,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,0,10.0,4.7359,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,0,10.0,4.7714,Fresh(0-50),0,0,0,0,0,0
M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,1,10.0,4.9007,Fresh(0-50),0,0,0,0,0,0
L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,0,9.9,6.5288,Fresh(0-50),0,0,0,0,0,0
L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,0,9.9,5.418,Fresh(0-50),0,0,0,0,0,0
M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,1,10.0,7.3845,Fresh(0-50),0,1,1,1,0,0
M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,1,10.0,5.8217,Fresh(0-50),0,0,0,0,0,0
M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,1,10.0,5.4791,Fresh(0-50),0,0,0,0,0,0
L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,0,9.9,5.2354,Low(51-100),0,0,0,0,0,0
L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,0,10.0,7.0808,Low(51-100),0,0,0,0,0,0
L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,0,10.1,4.8482,Low(51-100),0,0,0,0,0,0
L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,0,10.0,4.3156,Low(51-100),0,0,0,0,0,0
L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,0,10.0,6.6108,Low(51-100),0,0,0,0,0,0
M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,1,10.0,6.111,Low(51-100),0,0,0,0,0,0
L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,0,9.9,6.5895,Low(51-100),0,0,0,0,0,0
L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,0,9.9,5.1812,Low(51-100),0,0,0,0,0,0
L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,0,9.9,7.3385,Low(51-100),0,1,0,0,0,0
M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,1,10.0,7.3361,Low(51-100),0,0,0,0,0,0
H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,2,9.9,5.5504,Low(51-100),0,0,0,0,0,0
L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,0,9.8,5.6131,Low(51-100),0,0,0,0,0,0
L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,0,9.8,4.4105,Low(51-100),0,0,0,0,0,0
H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,2,9.9,6.8279,Low(51-100),0,0,0,0,0,0
M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,1,9.9,6.1959,Low(51-100),0,0,0,0,0,0
M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,1,9.8,6.5197,Low(51-100),0,0,0,0,0,0
L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,0,9.8,5.1719,Low(51-100),0,0,0,0,0,0
L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,0,9.8,6.8478,Low(51-100),0,0,0,0,0,0
L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,0,9.8,5.5845,Low(51-100),0,0,0,0,0,0
L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,0,9.8,5.5253,Medium(101-150),0,0,0,0,0,0
M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,1,9.8,5.0227,Medium(101-150),0,0,0,0,0,0
L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,0,9.8,6.252,Medium(101-150),0,0,0,0,0,0
L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,0,9.8,6.7073,Medium(101-150),0,0,0,0,0,0
L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,0,9.8,6.7214,Medium(101-150),0,0,0,0,0,0
L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,0,9.8,6.9547,Medium(101-150),0,1,1,1,0,0
L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,0,9.8,7.0258,Medium(101-150),0,0,0,0,0,0
L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,0,9.8,5.3166,Medium(101-150),0,0,0,0,0,0
L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,0,9.7,5.2599,Medium(101-150),0,0,0,0,0,0
L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,0,9.6,8.4193,Medium(101-150),0,1,1,1,0,0
L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,0,9.7,6.8801,Medium(101-150),0,0,1,0,0,0
L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,0,9.6,6.4145,Medium(101-150),0,0,0,0,0,0
L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,0,9.6,5.5993,Medium(101-150),0,0,0,0,0,0
L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,0,9.6,6.3393,Medium(101-150),0,0,0,0,0,0
L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,0,9.6,5.0382,Medium(101-150),0,0,0,0,0,0
M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,1,9.7,6.5185,Medium(101-150),0,0,0,0,0,0
M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,1,9.7,7.427,Medium(101-150),0,1,0,0,0,0
L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,0,9.6,7.5976,Medium(101-150),0,1,1,1,0,0
M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,1,9.7,5.1061,Medium(101-150),0,0,0,0,0,0
H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,2,9.8,6.7952,Medium(101-150),0,0,1,0,0,0
L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,0,9.9,7.5104,Medium(101-150),0,1,1,1,0,0
H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,2,9.8,7.4954,Medium(101-150),0,1,0,0,0,0
L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,0,9.8,7.4088,High(151-200),0,1,1,1,0,0
L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,0,9.8,5.7117,High(151-200),0,0,0,0,0,0
L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,0,9.8,5.691,High(151-200),0,0,0,0,0,0
M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,1,9.8,5.2502,High(151-200),0,0,0,0,0,0
H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,2,9.8,7.4402,High(151-200),0,1,1,1,0,0
M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,1,9.8,6.1757,High(151-200),0,0,1,0,0,0
L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,0,9.9,5.3232,High(151-200),0,0,0,0,0,0
H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,2,9.9,6.0935,High(151-200),0,0,0,0,0,0
L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,0,10.0,6.3614,High(151-200),0,0,0,0,0,0
M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,1,10.0,6.9311,High(151-200),0,1,1,1,0,0
L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,0,9.9,6.1542,High(151-200),0,0,0,0,0,0
L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,0,9.9,6.3581,High(151-200),0,0,1,0,0,0
M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,1,9.8,5.7601,High(151-200),0,0,0,0,0,0
M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,1,9.8,6.8004,High(151-200),0,0,0,0,0,0
L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,0,9.8,5.2304,High(151-200),0,0,0,0,0,0
